user_id,date,sessions,articles_read,minutes_spent
u_000000,2025-04-02,1,1,7
u_000000,2025-04-05,2,0,2
u_000000,2025-04-11,1,0,4
u_000000,2025-04-19,3,0,4
u_000000,2025-04-20,1,1,8
u_000000,2025-04-28,1,1,4
u_000000,2025-05-07,2,1,1
u_000000,2025-05-08,1,1,1
u_000000,2025-05-12,3,2,4
u_000000,2025-05-13,1,4,4
u_000000,2025-05-14,1,0,7
u_000000,2025-05-17,1,0,6
u_000000,2025-05-24,1,1,3
u_000000,2025-05-25,1,1,2
u_000000,2025-05-31,1,1,4
u_000000,2025-06-10,1,2,7
u_000000,2025-06-16,1,2,5
u_000000,2025-06-19,1,2,1
u_000000,2025-06-23,1,2,6
u_000000,2025-06-29,1,1,5
u_000000,2025-07-01,1,2,10
u_000000,2025-07-13,1,3,6
u_000000,2025-07-17,2,2,5
u_000000,2025-08-04,2,1,4
u_000000,2025-08-05,1,1,4
u_000000,2025-08-09,1,1,4
u_000000,2025-08-15,1,1,8
u_000000,2025-08-16,1,1,4
u_000000,2025-08-17,1,2,2
u_000000,2025-08-19,1,1,4
u_000000,2025-08-20,2,1,3
u_000000,2025-08-21,1,1,1
u_000000,2025-09-07,1,0,13
u_000000,2025-09-08,1,2,20
u_000000,2025-09-15,1,0,2
u_000000,2025-09-17,1,1,13
u_000000,2025-09-19,1,1,1
u_000000,2025-09-27,1,1,12
u_000000,2025-10-16,1,1,6
u_000000,2025-10-17,1,0,12
u_000000,2025-10-27,2,1,5
u_000000,2025-10-30,3,3,6
u_000000,2025-11-04,1,3,8
u_000000,2025-11-05,1,3,3
u_000000,2025-11-15,1,0,11
u_000000,2025-11-17,3,1,2
u_000000,2025-11-20,1,1,7
u_000000,2025-12-02,1,1,3
u_000000,2026-01-01,1,0,4
u_000000,2026-01-03,1,4,6
u_000000,2026-01-08,1,1,1
u_000000,2026-01-12,1,0,4
u_000000,2026-01-14,1,4,13
u_000000,2026-01-21,1,0,6
u_000000,2026-01-22,2,0,14
u_000000,2026-01-25,2,5,2
u_000000,2026-01-28,1,1,7
u_000000,2026-02-02,1,1,10
u_000000,2026-02-03,1,0,3
u_000000,2026-02-11,2,0,9
u_000000,2026-02-15,1,3,1
u_000000,2026-02-19,1,2,9
u_000000,2026-02-28,1,3,4
u_000000,2026-03-16,1,3,4
u_000000,2026-03-23,1,3,1
u_000000,2026-03-26,3,0,3
u_000000,2026-03-29,1,1,8
u_000000,2026-03-30,1,0,10
u_000004,2025-04-15,1,1,7
u_000004,2025-04-16,1,0,3
u_000004,2025-04-25,1,1,4
u_000004,2025-04-26,1,2,11
u_000004,2025-04-28,1,3,7
u_000004,2025-05-04,1,1,12
u_000004,2025-05-15,2,2,8
u_000004,2025-05-16,1,0,5
u_000004,2025-05-24,1,3,7
u_000004,2025-05-28,1,1,3
u_000004,2025-05-30,1,0,8
u_000004,2025-06-01,2,0,5
u_000004,2025-06-21,1,2,1
u_000004,2025-06-24,1,1,2
u_000004,2025-06-28,1,1,3
u_000004,2025-07-02,2,2,1
u_000004,2025-07-07,1,1,3
u_000004,2025-07-08,1,1,3
u_000004,2025-07-09,1,1,2
u_000004,2025-07-13,1,0,10
u_000004,2025-07-25,1,3,3
u_000004,2025-07-26,2,2,9
u_000004,2025-08-04,1,0,7
u_000004,2025-08-17,2,3,3
u_000004,2025-08-18,1,1,7
u_000004,2025-08-24,1,2,4
u_000004,2025-08-27,1,2,1
u_000004,2025-09-09,1,2,7
u_000004,2025-09-12,2,0,2
u_000004,2025-09-27,1,3,3
u_000004,2025-09-29,2,0,3
u_000004,2025-10-16,1,2,6
u_000004,2025-10-17,1,0,6
u_000004,2025-10-22,1,2,3
u_000004,2025-10-27,1,1,1
u_000004,2025-11-03,1,0,14
u_000004,2025-11-15,1,2,4
u_000004,2025-11-16,3,0,13
u_000004,2025-11-19,1,1,14
u_000004,2025-11-26,2,1,2
u_000004,2025-11-27,2,2,16
u_000004,2025-11-28,1,1,4
u_000004,2025-12-06,1,1,2
u_000004,2025-12-17,1,2,5
u_000004,2025-12-24,1,1,7
u_000004,2025-12-26,3,1,2
u_000004,2025-12-27,1,0,1
u_000004,2025-12-29,1,0,15
u_000004,2026-01-09,1,0,2
u_000004,2026-01-13,1,0,3
u_000004,2026-01-16,1,2,8
u_000004,2026-01-17,1,2,1
u_000004,2026-01-18,1,2,4
u_000004,2026-01-21,2,2,5
u_000004,2026-01-26,1,0,3
u_000004,2026-02-09,1,0,5
u_000004,2026-02-28,1,0,3
u_000004,2026-03-01,1,0,5
u_000004,2026-03-02,1,0,9
u_000004,2026-03-16,1,2,2
u_000004,2026-03-19,1,0,18
u_000004,2026-03-22,2,0,2
u_000005,2025-04-03,1,3,4
u_000005,2025-04-09,2,2,1
u_000005,2025-04-19,1,1,12
u_000005,2025-04-28,1,3,3
u_000005,2025-05-01,4,2,6
u_000005,2025-05-04,1,2,5
u_000005,2025-05-06,1,2,5
u_000005,2025-05-14,1,0,7
u_000005,2025-05-15,2,1,6
u_000005,2025-05-17,1,6,4
u_000005,2025-05-18,2,1,5
u_000005,2025-05-26,1,0,7
u_000005,2025-05-29,1,1,8
u_000005,2025-06-12,1,1,19
u_000005,2025-06-15,1,3,3
u_000005,2025-06-26,1,2,6
u_000005,2025-06-27,1,1,11
u_000005,2025-07-01,2,3,2
u_000005,2025-07-07,1,1,1
u_000005,2025-07-21,1,0,16
u_000005,2025-07-24,3,1,19
u_000005,2025-07-26,2,1,1
u_000005,2025-07-29,2,1,4
u_000005,2025-08-03,1,0,2
u_000005,2025-08-04,1,1,7
u_000005,2025-08-05,1,0,13
u_000005,2025-08-08,1,2,3
u_000005,2025-08-13,2,1,2
u_000005,2025-08-19,1,2,4
u_000005,2025-09-11,1,1,3
u_000005,2025-09-18,3,1,6
u_000005,2025-09-20,1,0,9
u_000005,2025-09-26,2,4,1
u_000005,2025-10-01,1,0,13
u_000005,2025-10-11,1,0,5
u_000005,2025-10-26,1,3,4
u_000005,2025-11-01,4,1,1
u_000005,2025-11-15,1,0,1
u_000005,2025-11-17,1,1,8
u_000005,2025-12-02,1,1,1
u_000005,2025-12-03,2,1,3
u_000005,2025-12-11,1,0,4
u_000005,2025-12-12,1,0,1
u_000005,2025-12-23,1,1,13
u_000005,2025-12-31,1,0,1
u_000005,2026-01-07,2,1,14
u_000005,2026-01-14,1,2,2
u_000005,2026-01-24,1,1,7
u_000005,2026-01-25,1,1,4
u_000005,2026-01-27,1,0,1
u_000005,2026-02-12,1,1,2
u_000005,2026-02-13,1,0,1
u_000005,2026-02-15,1,3,1
u_000005,2026-02-20,2,2,6
u_000005,2026-02-27,1,1,5
u_000005,2026-02-28,1,1,5
u_000005,2026-03-04,2,1,4
u_000005,2026-03-08,1,1,6
u_000005,2026-03-09,1,4,3
u_000005,2026-03-12,1,0,7
u_000005,2026-03-25,1,3,8
u_000007,2025-04-03,1,1,41
u_000007,2025-04-06,1,4,74
u_000007,2025-04-08,1,2,6
u_000007,2025-04-09,3,3,49
u_000007,2025-04-11,1,1,23
u_000007,2025-04-12,2,4,11
u_000008,2025-04-07,1,2,4
u_000008,2025-04-16,1,2,1
u_000008,2025-04-18,2,0,4
u_000008,2025-04-22,1,1,4
u_000008,2025-05-12,1,1,2
u_000008,2025-05-18,1,4,4
u_000008,2025-05-20,2,1,4
u_000008,2025-05-23,1,1,3
u_000008,2025-06-06,1,0,5
u_000008,2025-06-12,2,0,4
u_000008,2025-06-21,1,0,9
u_000008,2025-07-10,2,1,3
u_000008,2025-07-14,1,0,14
u_000008,2025-08-09,2,0,3
u_000008,2025-08-10,1,0,3
u_000008,2025-08-12,3,2,4
u_000008,2025-08-24,1,0,5
u_000008,2025-08-30,1,1,6
u_000008,2025-09-02,1,1,1
u_000008,2025-09-08,2,3,10
u_000008,2025-09-11,1,0,1
u_000008,2025-09-12,1,2,4
u_000008,2025-09-16,2,0,2
u_000008,2025-10-01,1,0,8
u_000008,2025-10-12,1,2,5
u_000008,2025-10-25,1,2,1
u_000008,2025-10-29,1,2,15
u_000008,2025-10-31,1,1,8
u_000008,2025-11-01,1,0,4
u_000008,2025-11-13,2,0,5
u_000008,2025-12-14,1,0,4
u_000008,2025-12-20,1,1,9
u_000008,2025-12-21,1,1,5
u_000008,2025-12-24,1,2,9
u_000008,2025-12-26,1,2,9
u_000008,2025-12-27,1,1,3
u_000008,2026-01-01,1,1,6
u_000008,2026-01-04,2,2,8
u_000008,2026-01-13,1,1,1
u_000008,2026-01-22,1,1,11
u_000008,2026-01-31,2,2,1
u_000008,2026-02-03,1,0,15
u_000008,2026-02-13,1,2,9
u_000008,2026-02-16,1,3,2
u_000008,2026-02-18,1,0,2
u_000008,2026-02-20,1,0,4
u_000008,2026-02-24,1,2,8
u_000008,2026-03-01,2,3,6
u_000008,2026-03-02,2,1,5
u_000008,2026-03-06,1,2,20
u_000008,2026-03-14,1,1,15
u_000008,2026-03-21,1,0,3
