user_id,registration_date,first_sub_date
u_000000,2024-04-01,
u_000001,2024-04-01,2024-04-04
u_000002,2024-04-01,2024-04-04
u_000003,2024-04-01,2024-04-03
u_000004,2024-04-01,
u_000005,2024-04-01,
u_000006,2024-04-02,2024-04-11
u_000007,2024-04-02,2024-04-19
u_000008,2024-04-02,
u_000009,2024-04-02,2024-04-02
u_000010,2024-04-02,
u_000011,2024-04-02,2024-04-29
u_000012,2024-04-02,
u_000013,2024-04-02,
u_000014,2024-04-03,2024-04-05
u_000015,2024-04-03,
u_000016,2024-04-03,2024-04-25
u_000017,2024-04-03,2024-04-06
u_000018,2024-04-04,2024-04-05
u_000019,2024-04-04,2024-04-05
u_000020,2024-04-04,
u_000021,2024-04-04,2024-04-28
u_000022,2024-04-05,2024-04-07
u_000023,2024-04-05,
u_000024,2024-04-05,2024-04-11
u_000025,2024-04-05,2024-04-10
u_000026,2024-04-05,2024-04-05
u_000027,2024-04-05,
u_000028,2024-04-06,2024-04-07
u_000029,2024-04-06,
u_000030,2024-04-07,2024-04-11
u_000031,2024-04-07,
u_000032,2024-04-07,
u_000033,2024-04-07,2024-04-10
u_000034,2024-04-08,
u_000035,2024-04-09,2024-04-13
u_000036,2024-04-09,2024-04-12
u_000037,2024-04-09,2024-04-16
u_000038,2024-04-09,
u_000039,2024-04-09,
u_000040,2024-04-09,2024-04-11
u_000041,2024-04-10,
u_000042,2024-04-10,2024-04-15
u_000043,2024-04-10,
u_000044,2024-04-10,
u_000045,2024-04-11,2024-04-23
u_000046,2024-04-11,
u_000047,2024-04-11,2024-04-20
u_000048,2024-04-11,
u_000049,2024-04-11,
u_000050,2024-04-12,
u_000051,2024-04-12,
u_000052,2024-04-12,2024-04-15
u_000053,2024-04-12,2024-04-12
u_000054,2024-04-13,
u_000055,2024-04-13,
u_000056,2024-04-13,2024-04-13
u_000057,2024-04-14,2024-04-21
u_000058,2024-04-14,2024-04-17
u_000059,2024-04-14,
u_000060,2024-04-14,2024-04-21
u_000061,2024-04-14,2024-04-15
u_000062,2024-04-14,
u_000063,2024-04-14,
u_000064,2024-04-15,
u_000065,2024-04-15,
u_000066,2024-04-15,2024-04-21
u_000067,2024-04-15,2024-04-17
u_000068,2024-04-16,
u_000069,2024-04-16,2024-04-19
u_000070,2024-04-16,
u_000071,2024-04-16,2024-04-21
u_000072,2024-04-17,
u_000073,2024-04-17,
u_000074,2024-04-17,
u_000075,2024-04-18,2024-05-07
u_000076,2024-04-18,
u_000077,2024-04-18,
u_000078,2024-04-18,2024-04-22
u_000079,2024-04-18,
u_000080,2024-04-18,2024-05-02
u_000081,2024-04-19,
u_000082,2024-04-19,
u_000083,2024-04-19,2024-04-26
u_000084,2024-04-19,
u_000085,2024-04-20,
u_000086,2024-04-20,2024-04-26
u_000087,2024-04-20,2024-04-21
u_000088,2024-04-20,
u_000089,2024-04-21,2024-04-23
u_000090,2024-04-21,
u_000091,2024-04-21,2024-04-23
u_000092,2024-04-21,
u_000093,2024-04-21,
u_000094,2024-04-21,
u_000095,2024-04-21,2024-04-21
u_000096,2024-04-22,2024-04-22
u_000097,2024-04-22,
u_000098,2024-04-22,
u_000099,2024-04-23,2024-05-07
u_000100,2024-04-23,2024-05-07
u_000101,2024-04-23,
u_000102,2024-04-23,2024-05-03
u_000103,2024-04-23,
u_000104,2024-04-23,2024-04-28
u_000105,2024-04-24,
u_000106,2024-04-24,2024-05-03
u_000107,2024-04-24,
u_000108,2024-04-24,
u_000109,2024-04-24,
u_000110,2024-04-25,
u_000111,2024-04-25,
u_000112,2024-04-25,
u_000113,2024-04-25,
u_000114,2024-04-25,
u_000115,2024-04-26,
u_000116,2024-04-26,2024-04-27
u_000117,2024-04-26,
u_000118,2024-04-26,
u_000119,2024-04-28,
u_000120,2024-04-28,2024-05-05
u_000121,2024-04-28,2024-04-29
u_000122,2024-04-28,
u_000123,2024-04-28,
u_000124,2024-04-28,
u_000125,2024-04-28,
u_000126,2024-04-28,
u_000127,2024-04-29,
