user_id,country,age,gender,city_size,device,registration_date
u_000000,USA,48,M,small,desktop,2024-04-01
u_000001,Ukraine,26,F,regional,desktop,2024-04-01
u_000002,USA,18,F,capital,mobile,2024-04-01
u_000003,UK,18,M,capital,mobile,2024-04-01
u_000004,Ukraine,53,F,regional,desktop,2024-04-01
u_000005,Other,31,F,capital,mobile,2024-04-01
u_000006,USA,26,M,capital,mobile,2024-04-02
u_000007,USA,55,F,capital,desktop,2024-04-02
u_000008,Ukraine,51,F,capital,desktop,2024-04-02
u_000009,Poland,36,M,capital,desktop,2024-04-02
u_000010,Ukraine,32,M,capital,mobile,2024-04-02
u_000011,Other,34,F,small,desktop,2024-04-02
u_000012,Germany,38,F,regional,mobile,2024-04-02
u_000013,USA,55,M,regional,desktop,2024-04-02
u_000014,Ukraine,41,F,regional,mobile,2024-04-03
u_000015,Ukraine,44,F,regional,desktop,2024-04-03
u_000016,Poland,50,M,capital,mobile,2024-04-03
u_000017,Ukraine,21,M,capital,mobile,2024-04-03
u_000018,USA,45,Other,capital,desktop,2024-04-04
u_000019,Germany,32,F,regional,desktop,2024-04-04
u_000020,USA,18,F,regional,mobile,2024-04-04
u_000021,Ukraine,18,M,capital,mobile,2024-04-04
u_000022,Other,23,M,regional,desktop,2024-04-05
u_000023,Canada,42,F,small,mobile,2024-04-05
u_000024,USA,37,M,capital,desktop,2024-04-05
u_000025,Ukraine,38,F,regional,mobile,2024-04-05
u_000026,Poland,59,M,regional,mobile,2024-04-05
u_000027,Ukraine,20,M,regional,mobile,2024-04-05
u_000028,Ukraine,35,F,regional,mobile,2024-04-06
u_000029,UK,39,Other,regional,desktop,2024-04-06
u_000030,UK,27,Other,capital,mobile,2024-04-07
u_000031,Other,36,F,regional,mobile,2024-04-07
u_000032,Ukraine,18,F,small,mobile,2024-04-07
u_000033,Ukraine,52,M,capital,desktop,2024-04-07
u_000034,Poland,27,F,small,mobile,2024-04-08
u_000035,Ukraine,60,F,capital,desktop,2024-04-09
u_000036,Ukraine,35,F,regional,desktop,2024-04-09
u_000037,Poland,48,M,regional,desktop,2024-04-09
u_000038,Ukraine,35,F,regional,mobile,2024-04-09
u_000039,Germany,35,M,small,mobile,2024-04-09
u_000040,Ukraine,28,F,capital,mobile,2024-04-09
u_000041,USA,37,F,regional,desktop,2024-04-10
u_000042,UK,39,M,regional,mobile,2024-04-10
u_000043,Ukraine,26,F,small,mobile,2024-04-10
u_000044,USA,34,F,regional,mobile,2024-04-10
u_000045,USA,28,F,small,mobile,2024-04-11
u_000046,Ukraine,63,M,small,desktop,2024-04-11
u_000047,Ukraine,34,F,capital,desktop,2024-04-11
u_000048,UK,54,F,small,desktop,2024-04-11
u_000049,Ukraine,33,F,small,desktop,2024-04-11
u_000050,Ukraine,39,F,capital,desktop,2024-04-12
u_000051,Ukraine,20,F,regional,mobile,2024-04-12
u_000052,USA,30,M,capital,mobile,2024-04-12
u_000053,Germany,38,F,regional,mobile,2024-04-12
u_000054,UK,55,F,capital,desktop,2024-04-13
u_000055,USA,38,M,regional,mobile,2024-04-13
u_000056,Poland,52,M,regional,mobile,2024-04-13
u_000057,Poland,43,F,regional,mobile,2024-04-14
u_000058,Ukraine,55,F,capital,desktop,2024-04-14
u_000059,Ukraine,35,F,regional,desktop,2024-04-14
u_000060,Germany,64,M,regional,mobile,2024-04-14
u_000061,Poland,30,F,regional,mobile,2024-04-14
u_000062,Poland,26,F,capital,desktop,2024-04-14
u_000063,USA,21,F,capital,desktop,2024-04-14
u_000064,Germany,63,F,regional,desktop,2024-04-15
u_000065,Poland,45,F,small,desktop,2024-04-15
u_000066,Poland,31,F,capital,mobile,2024-04-15
u_000067,Ukraine,50,M,regional,mobile,2024-04-15
u_000068,Ukraine,44,M,capital,mobile,2024-04-16
u_000069,Ukraine,59,M,regional,mobile,2024-04-16
u_000070,Ukraine,18,M,capital,mobile,2024-04-16
u_000071,Ukraine,32,F,regional,desktop,2024-04-16
u_000072,USA,30,M,capital,mobile,2024-04-17
u_000073,Ukraine,18,M,capital,mobile,2024-04-17
u_000074,Ukraine,48,M,capital,mobile,2024-04-17
u_000075,Ukraine,32,M,capital,desktop,2024-04-18
u_000076,Ukraine,44,F,regional,desktop,2024-04-18
u_000077,Germany,64,F,small,mobile,2024-04-18
u_000078,Poland,31,F,regional,desktop,2024-04-18
u_000079,USA,30,F,small,desktop,2024-04-18
u_000080,Germany,37,F,regional,mobile,2024-04-18
u_000081,Ukraine,47,F,capital,mobile,2024-04-19
u_000082,USA,29,F,capital,mobile,2024-04-19
u_000083,Ukraine,28,M,regional,desktop,2024-04-19
u_000084,Ukraine,48,M,capital,mobile,2024-04-19
u_000085,Ukraine,40,M,small,mobile,2024-04-20
u_000086,UK,18,F,regional,mobile,2024-04-20
u_000087,Poland,21,M,regional,mobile,2024-04-20
